Root	Durative Theme Vowel	Preterite Theme Vowel	Glosses
bdq	a	u	repair
bhr	i	i	choose, select
bkr	i	i	sprinkle(?)
bll	a	u	mix, blend, mingle, alloy
blm	i	i	gag; muzzle
blṣ	i	i	I stare, fix the eyes in a stare, II thrust, jerk (with rump)
blṭ	a	a	live, survive, subsist
bql	u	u	malt, sprout
bqm	a	u	pluck hair or wool
bqn	a	u	pluck hair or wool
bqr	a	u	claim, allege, contest, arrogate
brm	a	u	seal up
brq	i	i	flash (of lightning), strike with lightning
brr	u	u	flicker; be dim; be scintillating
brṣ	u	u	light up, shine brightly
bšl	a	a	cook, boil, scald, stew
bšm	a	u	carry away, kidnap
bṣr	a	u	cut, pick, harvest (grapes)
bšš	u	u	spread
bṭl	i	i	cease, stop, pack in, pack
btq	a	u	cut, cut off, amputate; divide
bzh	a	u	badger, entail, extort, make unreasonable demands
dbb	u	u	speak, tell; (D) talk much; (Dt) be called
dgl	a	u	look at, scan
dkk	u	u	scamper (of donkey)
dkš	a	u	press in; stab; thrust
dlb	i	i	stir up; be sleepless; stay awake; (D) harass; (N) become restless
dlh	a	u	stir up, disturb, confuse
dll	a	u	proclaim, glorify, praise
dlp	i	i	stir up; be sleepless; stay awake; (D) harass; (N) become restless
dlq	i	i	burn
dmm	u	u	wail, bemoan, mourn
dmq	i	i	be good; prosper, flourish, have good fortune
dmṣ	u	u	prostrate oneself
dnn	i	i	become strong, become powerful; (R) match in strength
dpn	a	u	hurtle towards
dpr	i	i	be frequent, swarm
dqš	i	i	bend down
drk	a	u	pack; to arrive at
drr	a	u	intercalate a month
drš	i	i	try?
drs	i	i	trample; push back
gbb	a	u	burn,
gdd	a	u	separate off
gdl	a	u	twist, plait, interweave
gdm	i	i	cut off a part of body as punishment, amputate
gld	u	u	twitch, become nervous, become
gll	a	a	roll; reel, trundle
glt	u	u	twitch, become nervous, become
gml	i	i	spare, save, perform a kind act
gmr	a	u	bring to an end, come to an end; (D) control totally
gnh	i	i	cough
gnn	a	u	encircle, shut in
gnṣ	a	u	lift (nose, lip)
gpr	i	i	be superior
gpš	u	u	be huge, mighty; rise
grd	a	u	pluck, tear out; scrape off
grh	a	u	move towards; (of women) be made love to (N)
grm	i	i	follow course of a planet
grn	a	u	store, pile up; (D)
grr	u	u	writhe, grovel; (D) drip; become scared; wince
grš	a	u	move towards; (N) (of women) be made love to
grṣ	a	u	pinch off, break off, gnaw bone
gšr	i	i	become powerful; (Dt) strike with great force
gṣṣ	a	u	shear (sheep and goats)
gšš	a	u	cut off
gzl	a	u	steal, carry off; rob
gzr	i	i	cut; circumcise
gzz	a	u	shear (sheep and goats)
hbb	u	u	buzz, murmur, twitter; (D) hiss at (of snake)
hbl	a	a	bind, harness
hbr	u	u	be noisy, babble, blab; be busy
hbš	a	u	crush, comminute, chop, break
hbṣ	u	u	be exuberant, be luxuriant
hbt	a	u	I rob, maraud, take away (by force); II loan grain?; III wander
hdd	a	u	rustle, swish; rub
hdl	a	u	I tie up; (Gt) tie together
hdr	a	u	be dark, gloomy
hkm	i	i	understand; (D) inform
hkr	i	i	comminute
hlb	i	i	milk
hll	a	u	I confine, shut away; II creep
hlp	a	u	exchange, substitute
hlq	a	u	comb out wool
